name_common,age,mlb_ID,player_ID,year_ID,team_ID,stint_ID,lg_ID,PA,G,Inn,runs_bat,runs_br,runs_dp,runs_field,runs_infield,runs_outfield,runs_catcher,runs_good_plays,runs_defense,runs_position,runs_position_p,runs_replacement,runs_above_rep,runs_above_avg,runs_above_avg_off,runs_above_avg_def,WAA,WAA_off,WAA_def,WAR,WAR_def,WAR_off,WAR_rep,salary,pitcher,teamRpG,oppRpG,oppRpPA_rep,oppRpG_rep,pyth_exponent,pyth_exponent_rep,waa_win_perc,waa_win_perc_off,waa_win_perc_def,waa_win_perc_rep,OPS_plus,TOB_lg,TB_lg
Fernando Abad,33,472551,abadfe01,2019,SFG,1,NL,0,18,13.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,-0.02,0.00,-0.02,0.00,0.00,100000,Y,4.72014,4.72014,0.08805,4.72014,1.896,1.896,0.5000,0.5000,0.5000,0.5000,NULL,0.000,0.000
Bryan Abreu,22,650556,abreubr01,2019,HOU,1,AL,0,0,8.7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Y,NULL,4.95606,0.09007,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.000,0.000
Jose Abreu,32,547989,abreujo02,2019,CHW,1,AL,693,159,1409.7,16.44,-1.81,-2.00,-8.00,0.00,0.00,0.00,0.00,-8.00,-10.05,0.00,24.25,18.8,-5.4,2.6,-18.1,-0.27,0.35,-1.55,2.04,-1.55,2.66,2.31,16000000,N,4.97228,4.95606,0.09007,4.80356,1.924,1.914,0.4967,0.5016,0.4890,0.4850,119.3719,221.275,275.283
Ronald Acuna Jr.,21,660670,acunaro01,2019,ATL,1,NL,715,156,1364.0,24.20,5.18,-0.09,3.00,0.00,5.00,0.00,3.00,11.00,-0.80,0.00,21.23,60.7,39.5,28.5,10.2,3.63,2.72,0.88,5.70,0.88,4.79,2.07,560000,N,4.90277,4.72014,0.08805,4.58407,1.907,1.888,0.5252,0.5181,0.5066,0.4862,122.0073,240.229,284.767
Cristhian Adames,27,542436,adamecr01,2019,SFG,1,NL,24,10,46.0,0.01,0.30,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.16,0.00,0.78,2.3,1.5,0.5,1.2,0.14,0.05,0.11,0.22,0.11,0.13,0.08,NULL,N,4.76714,4.72014,0.08805,4.64214,1.899,1.892,0.5148,0.5047,0.5117,0.4921,100.1371,7.747,9.528
Willy Adames,23,642715,adamewi01,2019,TBR,1,AL,584,152,1314.7,-2.19,2.00,1.19,9.00,1.00,0.00,0.00,2.00,12.00,7.89,0.00,20.93,41.8,20.9,8.9,19.9,2.23,0.93,2.12,4.21,2.12,2.91,1.98,562400,N,5.01454,4.95606,0.09007,4.81839,1.926,1.915,0.5133,0.5056,0.5127,0.4865,95.4717,185.513,230.560
Jason Adam,27,592094,adamja01,2019,TOR,1,AL,0,3,21.7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,NULL,Y,4.95606,4.95606,0.09007,4.95606,1.923,1.923,0.5000,0.5000,0.5000,0.5000,NULL,0.000,0.000
Austin Adams,32,542866,adamsau01,2019,DET,2,AL,0,1,14.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,NULL,Y,4.95606,4.95606,0.09007,4.95606,1.923,1.923,0.5000,0.5000,0.5000,0.5000,NULL,0.000,0.000
Austin Adams,32,542866,adamsau01,2019,MIN,1,AL,0,0,2.7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Y,NULL,4.95606,0.09007,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.000,0.000
Austin Adams,28,613534,adamsau02,2019,SEA,2,AL,1,3,31.0,-0.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.16,0.00,-0.1,-0.1,-0.1,0.0,-0.01,-0.01,0.00,-0.01,0.00,-0.01,0.00,NULL,Y,4.91606,4.95606,0.09007,4.94411,1.920,1.922,0.4961,0.4961,0.5000,0.4988,-100.0000,0.314,0.426
