,Name,Team,Age,Birth City,Birth Country,Birth Lat,Birth Lng,College,College Lat,College Lng,ID,WAR
109,Cody Bellinger,LAD,24,"Scottsdale, AZ",USA,33.4941704,-111.9260519,,,,641355,9.14
158,Alex Bregman,HOU,26,"Albuquerque, NM",USA,35.0843859,-106.650422,Louisiana State,,,608324,9.06
1109,Marcus Semien,OAK,29,"San Francisco, CA",USA,37.7749295,-122.4194155,California,,,543760,8.85
228,Matt Chapman,OAK,26,"Victorville, CA",USA,34.5362184,-117.2927641,Cal State Fullerton,,,656305,8.29
1248,Mike Trout,LAA,28,"Vineland, NJ",USA,39.4863773,-75.02596369999999,,,,545361,8.2
300,Jacob deGrom,NYM,31,"DeLand, FL",USA,29.028318,-81.3031179,Stetson,,,594798,8.15
817,Mike Minor,TEX,32,"Chapel Hill, TN",USA,35.6264581,-86.6933305,Vanderbilt,,,501985,7.6499999999999995
731,Lance Lynn,TEX,32,"Marion County, IN",USA,39.83618999999999,-86.17517590000001,Mississippi,,,458681,7.4799999999999995
1281,Justin Verlander,HOU,37,"Manakin-Sabot, VA",USA,37.6015357,-77.7022145,Old Dominion,,,434378,7.34
752,Ketel Marte,ARI,26,Nizao,Dominican Republic,18.2465544,-70.2142886,,,,606466,7.15
1360,Christian Yelich,MIL,28,"Thousand Oaks, CA",USA,34.1705609,-118.8375937,,,,592885,6.98
118,Mookie Betts,LAD,27,"Nashville, TN",USA,36.1626638,-86.7816016,,,,605141,6.94
62,Nolan Arenado,COL,28,"Newport Beach, CA",USA,33.6188829,-117.9298493,,,,571448,6.65
250,Gerrit Cole,NYY,29,"Newport Beach, CA",USA,33.6188829,-117.9298493,UCLA,,,543037,6.51
1000,Anthony Rendon,LAA,29,"Houston, TX",USA,29.7604267,-95.3698028,Rice,,,543685,6.43
1188,Stephen Strasburg,WAS,31,"San Diego, CA",USA,32.715738,-117.1610838,San Diego State,,,544931,6.42
1165,George Springer,HOU,30,"New Britain, CT",USA,41.6612104,-72.7795419,Connecticut,,,543807,6.39
1185,Trevor Story,COL,27,"Irving, TX",USA,32.8140177,-96.9488945,,,,596115,6.13
499,Zack Greinke,HOU,36,"Orlando, FL",USA,28.5383355,-81.3792365,,,,425844,6.039999999999999
334,Josh Donaldson,MIN,34,"Pensacola, FL",USA,30.42130899999999,-87.2169149,Auburn,,,518626,6.0
77,Javier Báez,CHC,27,Bayamon,Puerto Rico,18.389396,-66.1653224,,,,595879,5.95
1034,Eduardo Rodriguez,BOS,27,Valencia,Venezuela,10.1579312,-67.9972104,,,,593958,5.920000000000001
696,DJ LeMahieu,NYY,31,"Visalia, CA",USA,36.3302284,-119.2920585,Louisiana State,,,518934,5.88
