,Name,Team,Age,Birth City,Birth Country,Birth Lat,Birth Lng,College,College Lat,College Lng,ID,WAR
158,Alex Bregman,HOU,26,"Albuquerque, NM",USA,,,Louisiana State,,,608324,9.06
1109,Marcus Semien,OAK,29,"San Francisco, CA",USA,,,California,,,543760,8.85
228,Matt Chapman,OAK,26,"Victorville, CA",USA,,,Cal State Fullerton,,,656305,8.29
300,Jacob deGrom,NYM,31,"DeLand, FL",USA,,,Stetson,,,594798,8.15
817,Mike Minor,TEX,32,"Chapel Hill, TN",USA,,,Vanderbilt,,,501985,7.6499999999999995
731,Lance Lynn,TEX,32,"Marion County, IN",USA,,,Mississippi,,,458681,7.4799999999999995
1281,Justin Verlander,HOU,37,"Manakin-Sabot, VA",USA,,,Old Dominion,,,434378,7.34
250,Gerrit Cole,NYY,29,"Newport Beach, CA",USA,,,UCLA,,,543037,6.51
1000,Anthony Rendon,LAA,29,"Houston, TX",USA,,,Rice,,,543685,6.43
1188,Stephen Strasburg,WAS,31,"San Diego, CA",USA,,,San Diego State,,,544931,6.42
1165,George Springer,HOU,30,"New Britain, CT",USA,,,Connecticut,,,543807,6.39
334,Josh Donaldson,MIN,34,"Pensacola, FL",USA,,,Auburn,,,518626,6.0
696,DJ LeMahieu,NYY,31,"Visalia, CA",USA,,,Louisiana State,,,518934,5.88
1095,Max Scherzer,WAS,35,"St. Louis, MO",USA,,,Missouri,,,453286,5.72
841,Max Muncy,LAD,29,"Midland, TX",USA,,,Baylor,,,571970,5.68
492,Sonny Gray,CIN,30,"Nashville, TN",USA,,,Vanderbilt,,,543243,5.57
638,Aaron Judge,NYY,27,"Linden, CA",USA,,,Fresno State,,,592450,5.5
261,Patrick Corbin,WAS,30,"Clay, NY",USA,,,Chipola Junior College,,,571578,5.35
302,Paul DeJong,STL,26,"Orlando, FL",USA,,,Illinois State,,,657557,5.34
1344,Kolten Wong,STL,29,"Hilo, HI",USA,,,Hawaii,,,543939,5.19
791,Jeff McNeil,NYM,28,"Santa Barbara, CA",USA,,,Long Beach State,,,643446,4.89
396,David Fletcher,LAA,25,"Orange, CA",USA,,,Loyola Marymount,,,664058,4.47
195,Mark Canha,OAK,31,"San Jose, CA",USA,,,California,,,592192,4.32
