,Unnamed: 0,Unnamed: 0.1,Name,Birth City,Birth Country,Birth Lat,Birth Lng,College,College Lat,College Lng,Age
0,0,0,Justin Abdelkader,"Muskegon, MI",USA,,,,,,33.0
1,1,1,Pontus Aberg,Stockholm,Sweden,,,,,,26.0
2,2,2,Pontus Aberg,Stockholm,Sweden,,,,,,26.0
3,3,3,Vitaly Abramov,Chelyabinsk,Russia,,,,,,21.0
4,4,4,Noel Acciari,"Johnston, RI",USA,,,,,,28.0
5,5,5,Kenny Agostino,"Morristown, NJ",USA,,,,,,27.0
6,6,6,Kenny Agostino,"Morristown, NJ",USA,,,,,,27.0
7,7,7,Andrew Agozzino,"Kleinburg, ON",Canada,,,,,,29.0
8,8,8,Sebastian Aho,Umea,Sweden,,,,,,24.0
9,9,9,Jake Allen,"Fredericton, NB",Canada,,,,,,29.0
10,10,10,Mark Alt,"St. Paul, MN",USA,,,,,,28.0
11,11,11,Karl Alzner,"Burnaby, BC",Canada,,,,,,31.0
12,12,12,Michael Amadio,"Sault Ste. Marie, ON",Canada,,,,,,23.0
13,13,13,Frederik Andersen,Herning,Denmark,,,,,,30.0
14,14,14,Craig Anderson,"Park Ridge, IL",USA,,,,,,38.0
15,15,15,Joey Anderson,"Roseville, MN",USA,,,,,,21.0
16,16,16,Josh Anderson,"Nanaimo, BC",Canada,,,,,,21.0
17,17,17,Jaret Anderson-Dolan,"Calgary, AB",Canada,,,,,,20.0
18,18,18,Lias Andersson,Smogen,Sweden,,,,,,21.0
19,19,19,Rasmus Andersson,Malmö,Sweden,,,,,,23.0
20,20,20,Sven Andrighetto,Zurich,Switzerland,,,,,,27.0
21,21,21,Artem Anisimov,Yaroslavl,Russia,,,,,,31.0
22,22,22,Mason Appleton,"Green Bay, WI",USA,,,,,,24.0
23,23,23,Darren Archibald,"Newmarket, ON",Canada,,,,,,30.0
24,24,24,Darren Archibald,"Newmarket, ON",Canada,,,,,,30.0
25,25,25,Josh Archibald,"Regina, SK",Canada,,,,,,27.0
26,26,26,Joel Armia,Pori,Finland,,,,,,26.0
27,27,27,Viktor Arvidsson,Skellefteå,Sweden,,,,,,27.0
28,28,28,Zach Aston-Reese,"Staten Island, NY",USA,,,,,,25.0
29,29,29,Andreas Athanasiou,"Woodbridge, ON",Canada,,,,,,25.0
30,30,30,Cam Atkinson,"Riverside, CT",USA,,,,,,30.0
31,31,31,Nicolas Aube-Kubel,"Slave Lake, AB",Canada,,,,,,23.0
32,32,32,Richard Bachman,"Salt Lake City, UT",USA,,,,,,32.0
33,33,33,David Backes,"Minneapolis, MN",USA,,,,,,35.0
34,34,34,Mikael Backlund,Vasteras,Sweden,,,,,,31.0
35,35,35,Nicklas Backstrom,Gävle,Sweden,,,,,,32.0
36,36,36,Sven Baertschi,Bern,Switzerland,,,,,,27.0
37,37,37,Josh Bailey,"Bowmanville, ON",Canada,,,,,,30.0
38,38,38,Justin Bailey,"Buffalo, NY",USA,,,,,,24.0
39,39,39,Rudolfs Balcers,Liepaja,Latvia,,,,,,23.0
40,40,40,Ivan Barbashev,Moscow,Russia,,,,,,24.0
41,41,41,Mark Barberio,"Montreal, QC",Canada,,,,,,30.0
42,42,42,Aleksander Barkov,Tampere,Finland,,,,,,24.0
43,43,43,Tyson Barrie,"Victoria, BC",Canada,,,,,,28.0
44,44,44,Matt Bartkowski,"Pittsburgh, PA",USA,,,,,,31.0
45,45,45,Mathew Barzal,"Coquitlam, BC",Canada,,,,,,22.0
