,Name,Age,Birth City,Birth Country,Birth Lat,Birth Lng,College,College Lat,College Lng,Height (in),Points/Game,Assists/Game,Steals/Game,Rebounds/Game,Blocks/Game,Ability Score
0,Alex Abrines,26,Palma de Mallorca,Spain,,,,,,"6'6""",5.3,0.6,0.5,1.5,0.2,8.1
1,Quincy Acy,29,"Tyler, TX",USA,,,Baylor University,,,"6'7""",1.7,0.8,0.1,2.5,0.4,5.5
2,Jaylen Adams,23,"Elkridge, MD",USA,,,,,,"6'0""",3.2,1.9,0.4,1.8,0.1,7.4
3,Steven Adams,26,Rotorua,New Zealand,,,University of Pittsburgh,,,"6'11""",13.8,1.6,1.5,9.5,1.0,27.400000000000002
4,Bam Adebayo,22,"Newark, NJ",USA,,,University of Kentucky,,,"6'9""",8.9,2.2,0.9,7.3,0.8,20.099999999999998
5,Deng Adel,23,Juba,South Sudan,,,,,,"6'7""",1.7,0.3,0.1,1.0,0.2,3.3000000000000003
6,DeVaughn Akoon-Purcell,26,"Orlando, FL",Trinidad and Tobago,,,,,,"6'4""",1.0,0.9,0.3,0.6,0.0,2.8
7,LaMarcus Aldridge,34,"Dallas, TX",USA,,,University of Texas at Austin,,,"6'11""",21.3,2.4,0.5,9.2,1.3,34.699999999999996
8,Rawle Alkins,22,"Brooklyn, NY",USA,,,,,,"6'5""",3.7,1.3,0.1,2.6,0.0,7.7
9,Grayson Allen,24,"Jacksonville, FL",USA,,,,,,"6'4""",5.6,0.7,0.1,0.6,0.2,7.199999999999999
10,Jarrett Allen,21,"Austin, TX",USA,,,University of Texas at Austin,,,"6'11""",10.9,1.4,0.5,8.4,1.5,22.7
11,Kadeem Allen,27,"Wilmington, NC",USA,,,University of Arizona,,,"6'1""",9.9,4.0,0.8,2.7,0.2,17.6
12,Al-Farouq Aminu,29,"Atlanta, GA",USA,,,Wake Forest University,,,"6'8""",9.4,1.3,0.8,7.5,0.4,19.4
13,Justin Anderson,26,"Montross, VA",USA,,,University of Virginia,,,"6'5""",3.7,0.5,0.5,1.8,0.3,6.8
14,Kyle Anderson,26,"New York, NY",USA,,,"University of California, Los Angeles",,,"6'9""",8.0,3.0,1.3,5.9,0.9,19.099999999999998
15,Ryan Anderson,31,"Sacramento, CA",USA,,,University of California,,,"6'10""",3.7,1.1,0.2,3.0,0.1,8.1
16,Ryan Anderson,31,"Sacramento, CA",USA,,,University of California,,,"6'10""",0.7,0.2,0.1,0.9,0.0,1.9000000000000001
17,Ike Anigbogu,21,"San Diego, CA",USA,,,"University of California, Los Angeles",,,"6'9""",0.0,0.3,0.0,1.0,0.3,1.6
18,Giannis Antetokounmpo,25,Athens,Greece,,,,,,"6'11""",27.7,5.9,1.3,12.5,1.5,48.9
19,Kostas Antetokounmpo,22,Athens,Greece,,,,,,"6'10""",1.0,0.0,1.0,0.5,0.0,2.5
20,Carmelo Anthony,35,"New York, NY",USA,,,Syracuse University,,,"6'8""",13.4,0.5,0.4,5.4,0.7,20.4
21,OG Anunoby,22,London,United Kingdom,,,Indiana University,,,"6'7""",7.0,0.7,0.7,2.9,0.3,11.6
22,Ryan Arcidiacono,26,"Langhorne, PA",USA,,,Villanova University,,,"6'3""",6.7,3.3,0.8,2.7,0.0,13.5
23,Trevor Ariza,34,"Miami, FL",USA,,,"University of California, Los Angeles",,,"6'8""",9.9,3.3,1.5,5.6,0.3,20.6
24,Trevor Ariza,34,"Miami, FL",USA,,,"University of California, Los Angeles",,,"6'8""",14.1,3.8,1.2,5.2,0.3,24.6
25,D.J. Augustin,32,"New Orleans, LA",USA,,,University of Texas at Austin,,,"5'11""",11.7,5.3,0.6,2.5,0.0,20.1
26,Deandre Ayton,21,Nassau,Bahamas,,,,,,"6'11""",16.3,1.8,0.9,10.3,0.9,30.2
27,Dwayne Bacon,24,"Lakeland, FL",USA,,,Florida State University,,,"6'6""",7.3,1.1,0.3,2.1,0.1,10.9
28,Marvin Bagley III,21,"Tempe, AZ",USA,,,,,,"6'11""",14.9,1.0,0.5,7.6,1.0,25.0
29,Ron Baker,27,"Hays, KS",USA,,,Wichita State University,,,"6'4""",1.3,1.2,0.4,0.7,0.0,3.6
30,Ron Baker,27,"Hays, KS",USA,,,Wichita State University,,,"6'4""",0.0,0.5,0.2,1.0,0.2,1.9
31,Wade Baldwin IV,24,"Belle Mead, NJ",USA,,,Vanderbilt University,,,"6'4""",1.9,0.8,0.1,0.9,0.1,3.8
32,Lonzo Ball,22,"Anaheim, CA",USA,,,"University of California, Los Angeles",,,"6'6""",9.9,5.4,1.5,5.3,0.4,22.5
33,Mo Bamba,21,"Harlem, NY",USA,,,,,,"7'0""",6.2,0.8,0.3,4.9,1.4,13.600000000000003
34,J.J. Barea,35,Mayaguez,Puerto Rico,,,Northeastern University,,,"5'10""",10.9,5.6,0.6,2.5,0.0,19.6
35,Harrison Barnes,27,"Ames, IA",USA,,,University of North Carolina,,,"6'8""",17.7,1.3,0.7,4.2,0.2,24.099999999999998
36,Harrison Barnes,27,"Ames, IA",USA,,,University of North Carolina,,,"6'8""",14.2,1.9,0.6,5.5,0.1,22.3
37,Will Barton,29,"Baltimore, MD",USA,,,University of Memphis,,,"6'5""",11.5,2.9,0.4,4.6,0.5,19.9
38,Keita Bates-Diop,24,"Sacramento, CA",USA,,,,,,"6'8""",5.0,0.6,0.6,2.8,0.5,9.5
39,Nicolas Batum,31,Lisieux,France,,,,,,"6'9""",9.3,3.3,0.9,5.2,0.6,19.3
40,Jerryd Bayless,31,"Phoenix, AZ",USA,,,University of Arizona,,,"6'3""",6.1,3.5,0.5,1.9,0.1,12.1
41,Aron Baynes,33,Gisborne,Australia,,,Washington State University,,,"6'10""",5.6,1.1,0.2,4.7,0.7,12.299999999999999
