,Name,Age,Position,Games Played,Goals Against Average,Save Percentage (x10),Ability Score
0,Jake Allen,29,G,46,3.406,9.06,12.466000000000001
1,Frederik Andersen,30,G,60,3.321,9.17,12.491
2,Craig Anderson,38,G,50,7.2,9.030000000000001,16.23
3,Jonathan Bernier,31,G,35,3.121,9.08,12.201
4,Jordan Binnington,26,G,32,2.337,9.280000000000001,11.617
5,Ben Bishop,33,G,46,2.567,9.44,12.007
6,Sergei Bobrovsky,31,G,62,3.156,9.13,12.286000000000001
7,Jack Campbell,28,G,31,2.832,9.370000000000001,12.202000000000002
8,Corey Crawford,35,G,39,3.191,9.1,12.291
9,Casey DeSmith,28,G,36,4.2,9.17,13.370000000000001
10,Devan Dubnyk,33,G,67,3.076,9.13,12.206000000000001
11,Marc-Andre Fleury,35,G,61,2.709,9.120000000000001,11.829
12,Alexandar Georgiev,24,G,33,3.527,9.13,12.657
13,John Gibson,26,G,58,3.428,9.18,12.608
14,Thomas Greiss,34,G,43,2.908,9.26,12.168
15,Philipp Grubauer,28,G,37,3.121,9.190000000000001,12.311000000000002
16,Jaroslav Halak,34,G,40,3.09,9.24,12.33
17,Carter Hart,21,G,31,3.99,9.17,13.16
18,Connor Hellebuyck,26,G,63,3.537,9.14,12.677
19,Braden Holtby,30,G,59,3.26,9.11,12.37
20,Jimmy Howard,36,G,55,3.266,9.08,12.346
21,Carter Hutton,34,G,50,3.461,9.08,12.541
22,Martin Jones,30,G,62,3.83,8.95,12.78
23,Anton Khudobin,33,G,41,2.99,9.200000000000001,12.190000000000001
24,Keith Kinkaid,30,G,41,4.106,8.92,13.026
25,Mikko Koskinen,31,G,55,3.15,9.07,12.22
26,Darcy Kuemper,29,G,55,2.773,9.25,12.023
27,Robin Lehner,28,G,46,2.922,9.360000000000001,12.282000000000002
28,Henrik Lundqvist,38,G,52,4.002,9.07,13.072
29,Roberto Luongo,41,G,43,3.954,8.97,12.924000000000001
30,Jacob Markstrom,30,G,60,3.475,9.120000000000001,12.595
31,Curtis McElhinney,36,G,33,3.246,9.13,12.376000000000001
32,Petr Mrazek,28,G,40,2.86,9.16,12.02
33,Matt Murray,25,G,50,3.228,9.21,12.438
34,Carey Price,32,G,66,3.26,9.18,12.44
35,Jonathan Quick,34,G,46,4.676,8.89,13.566
36,Tuukka Rask,33,G,46,3.217,9.120000000000001,12.337000000000002
37,James Reimer,32,G,36,4.025,9.030000000000001,13.055000000000001
38,Pekka Rinne,37,G,56,2.876,9.18,12.056
39,David Rittich,27,G,45,3.311,9.11,12.421
40,Juuse Saros,24,G,31,3.269,9.24,12.509
41,Mike Smith,38,G,42,3.162,9.01,12.172
42,Cam Talbot,32,G,31,4.742,8.93,13.672
43,Linus Ullmark,26,G,37,4.341,9.14,13.481000000000002
44,Semyon Varlamov,31,G,49,4.34,9.09,13.43
45,Andrei Vasilevskiy,25,G,53,3.036,9.25,12.286
46,Cam Ward,36,G,33,4.382,8.99,13.372
