,Name,Age,Position,Points
0,Justin Abdelkader,33,LW,19
1,Pontus Aberg,26,LW,19
2,Pontus Aberg,26,LW,6
3,Vitaly Abramov,21,RW,0
4,Noel Acciari,28,C,14
5,Kenny Agostino,27,LW,11
6,Kenny Agostino,27,LW,13
7,Andrew Agozzino,29,LW,2
8,Sebastian Aho,24,C,84
10,Mark Alt,28,D,0
11,Karl Alzner,31,D,1
12,Michael Amadio,23,C,14
15,Joey Anderson,21,RW,8
16,Josh Anderson,21,RW,47
17,Jaret Anderson-Dolan,20,C,1
18,Lias Andersson,21,C,6
19,Rasmus Andersson,23,D,20
20,Sven Andrighetto,27,RW,17
21,Artem Anisimov,31,C,37
22,Mason Appleton,24,C,11
23,Darren Archibald,30,RW,2
24,Darren Archibald,30,RW,0
25,Josh Archibald,27,RW,22
26,Joel Armia,26,RW,23
27,Viktor Arvidsson,27,RW,48
28,Zach Aston-Reese,25,C,17
29,Andreas Athanasiou,25,C,54
30,Cam Atkinson,30,RW,69
31,Nicolas Aube-Kubel,23,RW,0
33,David Backes,35,RW,20
34,Mikael Backlund,31,C,47
35,Nicklas Backstrom,32,C,74
36,Sven Baertschi,27,LW,14
37,Josh Bailey,30,RW,56
38,Justin Bailey,24,RW,1
39,Rudolfs Balcers,23,LW,15
40,Ivan Barbashev,24,C,28
41,Mark Barberio,30,D,1
42,Aleksander Barkov,24,C,98
43,Tyson Barrie,28,D,59
44,Matt Bartkowski,31,D,1
45,Mathew Barzal,22,C,62
46,Nathan Bastian,22,RW,5
47,Drake Batherson,21,RW,9
48,Gavin Bayreuther,25,D,5
49,Jay Beagle,34,C,13
50,Jake Bean,21,D,0
51,Nathan Beaulieu,27,D,7
52,Nathan Beaulieu,27,D,5
53,Anthony Beauvillier,22,LW,28
54,Matt Beleskey,31,LW,1
55,Pierre-Edouard Bellemare,35,C,15
56,Louie Belpedio,23,D,0
57,Jamie Benn,30,LW,53
58,Jordie Benn,32,D,22
59,Sam Bennett,23,C,27
60,Matt Benning,25,D,17
61,Patrice Bergeron,34,C,79
62,Patrik Berglund,31,C,4
64,Tyler Bertuzzi,25,LW,47
65,Alex Biega,32,D,16
68,Clark Bishop,24,C,3
69,Anthony Bitetto,29,D,3
70,Anthony Bitetto,29,D,0
71,Anders Bjork,23,LW,3
72,Oliver Bjorkstrand,25,RW,36
73,Nick Bjugstad,27,C,12
74,Nick Bjugstad,27,C,14
75,Colin Blackwell,27,C,0
77,Sammy Blais,23,LW,4
78,Joseph Blandisi,25,C,0
79,Joseph Blandisi,25,C,0
80,Anton Blidh,25,LW,0
81,Teddy Blueger,25,C,10
83,Mikkel Boedker,30,LW,36
84,Brock Boeser,23,RW,56
85,Zach Bogosian,29,D,19
86,Nick Bonino,31,C,35
87,William Borgen,23,D,0
88,Henrik Borgstrom,22,C,18
89,Mark Borowiecki,30,D,5
90,Robert Bortuzzo,31,D,10
91,Evan Bouchard,20,D,1
92,Reid Boucher,26,C,0
93,Gabriel Bourque,29,LW,8
94,Jay Bouwmeester,36,D,17
96,Madison Bowey,24,D,6
97,Madison Bowey,24,D,4
98,Johnny Boychuk,36,D,19
99,Travis Boyd,26,C,20
100,Brian Boyle,35,C,19
101,Brian Boyle,35,C,5
103,Tyler Bozak,34,C,39
104,Erik Brannstrom,20,D,0
105,Derick Brassard,32,C,15
106,Derick Brassard,32,C,4
107,Derick Brassard,32,C,4
108,Jesper Bratt,21,LW,33
109,Justin Braun,33,D,16
110,Connor Brickley,28,LW,3
111,Daniel Brickley,25,D,1
112,Guillaume Brisebois,22,D,0
113,TJ Brodie,29,D,34
114,Jonas Brodin,26,D,18
115,Kyle Brodziak,35,C,9
116,Jonny Brodzinski,26,C,3
118,Troy Brouwer,34,RW,21
119,Connor Brown,26,RW,29
120,Dustin Brown,35,RW,53
121,Josh Brown,26,D,2
122,J.T. Brown,29,RW,8
123,Logan Brown,22,C,0
124,Pavel Buchnevich,25,LW,39
126,Michael Bunting,24,LW,1
127,Andre Burakovsky,25,LW,25
128,Erik Burgdoerfer,31,D,0
129,Brent Burns,35,D,84
130,Will Butcher,25,D,31
131,Chris Butler,33,D,2
132,Dustin Byfuglien,35,D,32
133,Paul Byron,30,LW,31
134,Drake Caggiula,25,C,11
135,Drake Caggiula,25,C,14
136,Ryan Callahan,35,RW,17
137,Matt Calvert,30,LW,26
139,Kyle Capobianco,22,D,0
140,Paul Carey,31,C,0
141,Paul Carey,31,C,0
142,Brandon Carlo,23,D,10
143,John Carlson,30,D,70
144,Gabriel Carlsson,23,D,0
145,Ryan Carpenter,29,C,18
146,Daniel Carr,28,LW,1
147,Connor Carrick,26,D,4
148,Connor Carrick,26,D,7
149,Sam Carrick,28,C,1
150,Trevor Carrick,25,D,0
151,William Carrier,25,LW,9
152,Jeff Carter,35,C,34
153,Colby Cave,25,C,5
154,Colby Cave,25,C,3
155,Cody Ceci,26,D,27
156,Peter Cehlarik,24,LW,6
