,Unnamed: 0,Name,Age,Birth City,Birth Country,Birth Lat,Birth Lng,College,College Lat,College Lng,Ability Score
0,0,Alex Abrines,26,Palma de Mallorca,Spain,39.5696005,2.6501603,,,,8.1
1,1,Quincy Acy,29,"Tyler, TX",USA,32.3512601,-95.30106239999999,Baylor University,,,5.5
2,2,Jaylen Adams,23,"Elkridge, MD",USA,39.1978788,-76.7625073,,,,7.4
3,3,Steven Adams,26,Rotorua,New Zealand,-38.1368478,176.2497461,University of Pittsburgh,,,27.4
4,4,Bam Adebayo,22,"Newark, NJ",USA,40.735657,-74.1723667,University of Kentucky,,,20.1
5,5,Deng Adel,23,Juba,South Sudan,4.859363,31.57125,,,,3.3000000000000003
6,6,DeVaughn Akoon-Purcell,26,"Orlando, FL",Trinidad and Tobago,28.5383355,-81.3792365,,,,2.8
7,7,LaMarcus Aldridge,34,"Dallas, TX",USA,32.7766642,-96.79698789999999,University of Texas at Austin,,,34.7
8,8,Rawle Alkins,22,"Brooklyn, NY",USA,40.6781784,-73.9441579,,,,7.7
9,9,Grayson Allen,24,"Jacksonville, FL",USA,30.3321838,-81.65565099999999,,,,7.199999999999998
10,10,Jarrett Allen,21,"Austin, TX",USA,30.267153,-97.7430608,University of Texas at Austin,,,22.7
11,11,Kadeem Allen,27,"Wilmington, NC",USA,34.2103894,-77.8868117,University of Arizona,,,17.6
12,12,Al-Farouq Aminu,29,"Atlanta, GA",USA,33.7489954,-84.3879824,Wake Forest University,,,19.4
13,13,Justin Anderson,26,"Montross, VA",USA,38.0951317,-76.8274644,University of Virginia,,,6.8
14,14,Kyle Anderson,26,"New York, NY",USA,40.7127753,-74.0059728,"University of California, Los Angeles",,,19.1
15,15,Ryan Anderson,31,"Sacramento, CA",USA,38.5815719,-121.4943996,University of California,,,8.1
16,16,Ryan Anderson,31,"Sacramento, CA",USA,38.5815719,-121.4943996,University of California,,,1.9
17,17,Ike Anigbogu,21,"San Diego, CA",USA,32.715738,-117.1610838,"University of California, Los Angeles",,,1.6
18,18,Giannis Antetokounmpo,25,Athens,Greece,37.9838096,23.7275388,,,,48.9
19,19,Kostas Antetokounmpo,22,Athens,Greece,37.9838096,23.7275388,,,,2.5
20,20,Carmelo Anthony,35,"New York, NY",USA,40.7127753,-74.0059728,Syracuse University,,,20.4
21,21,OG Anunoby,22,London,United Kingdom,51.5073509,-0.1277583,Indiana University,,,11.6
22,22,Ryan Arcidiacono,26,"Langhorne, PA",USA,40.1745538,-74.92266649999999,Villanova University,,,13.5
23,23,Trevor Ariza,34,"Miami, FL",USA,25.7616798,-80.1917902,"University of California, Los Angeles",,,20.6
24,24,Trevor Ariza,34,"Miami, FL",USA,25.7616798,-80.1917902,"University of California, Los Angeles",,,24.6
25,25,D.J. Augustin,32,"New Orleans, LA",USA,29.95106579999999,-90.0715323,University of Texas at Austin,,,20.1
26,26,Deandre Ayton,21,Nassau,Bahamas,25.0443312,-77.3503609,,,,30.2
27,27,Dwayne Bacon,24,"Lakeland, FL",USA,28.0394654,-81.9498042,Florida State University,,,10.9
28,28,Marvin Bagley III,21,"Tempe, AZ",USA,33.4255104,-111.9400054,,,,25.0
29,29,Ron Baker,27,"Hays, KS",USA,38.8791783,-99.3267702,Wichita State University,,,3.6
30,30,Ron Baker,27,"Hays, KS",USA,38.8791783,-99.3267702,Wichita State University,,,1.9
31,31,Wade Baldwin IV,24,"Belle Mead, NJ",USA,40.4675835,-74.6628114,Vanderbilt University,,,3.8
32,32,Lonzo Ball,22,"Anaheim, CA",USA,33.8365932,-117.9143012,"University of California, Los Angeles",,,22.5
33,33,Mo Bamba,21,"Harlem, NY",USA,40.8115504,-73.9464769,,,,13.600000000000005
34,34,J.J. Barea,35,Mayaguez,Puerto Rico,18.2013452,-67.1451549,Northeastern University,,,19.6
35,35,Harrison Barnes,27,"Ames, IA",USA,42.0307812,-93.63191309999999,University of North Carolina,,,24.1
36,36,Harrison Barnes,27,"Ames, IA",USA,42.0307812,-93.63191309999999,University of North Carolina,,,22.3
37,37,Will Barton,29,"Baltimore, MD",USA,39.2903848,-76.6121893,University of Memphis,,,19.9
38,38,Keita Bates-Diop,24,"Sacramento, CA",USA,38.5815719,-121.4943996,,,,9.5
39,39,Nicolas Batum,31,Lisieux,France,49.145922,0.227849,,,,19.3
40,40,Jerryd Bayless,31,"Phoenix, AZ",USA,33.4483771,-112.0740373,University of Arizona,,,12.1
41,41,Aron Baynes,33,Gisborne,Australia,-37.48999999999999,144.588889,Washington State University,,,12.3
42,42,Kent Bazemore,30,"Kelford, NC",USA,36.1796007,-77.2235757,Old Dominion University,,,19.700000000000006
43,43,Bradley Beal,26,"St. Louis, MO",USA,38.6270025,-90.19940419999999,University of Florida,,,38.3
44,44,Malik Beasley,23,"Atlanta, GA",USA,33.7489954,-84.3879824,Florida State University,,,15.8
45,45,Michael Beasley,31,"Frederick, MD",USA,39.41426879999999,-77.4105409,Kansas State University,,,11.000000000000002
46,46,Marco Belinelli,34,Bologna,Italy,44.494887,11.3426162,,,,15.2
47,47,Jordan Bell,25,"Los Angeles, CA",USA,34.0522342,-118.2436849,University of Oregon,,,8.2
48,48,DeAndre' Bembry,25,"Charlotte, NC",USA,35.2270869,-80.8431267,Saint Joseph's University,,,17.1
49,49,Dragan Bender,22,Capljina,Croatia,43.1111637,17.6996716,,,,11.1
51,51,Davis Bertans,27,Valmiera,Latvia,57.5384659,25.4263618,,,,13.7
52,52,Patrick Beverley,31,"Chicago, IL",USA,41.8781136,-87.6297982,University of Arkansas,,,18.0
53,53,Khem Birch,27,Montreal,Canada,45.5016889,-73.567256,"University of Nevada, Las Vegas",,,10.4
54,54,Bismack Biyombo,27,Lubumbashi,Democratic Republic of the Congo,-11.6876026,27.5026174,,,,10.6
55,55,Nemanja Bjelica,31,Belgrade,Serbia,44.786568,20.4489216,,,,18.7
56,56,Antonio Blakeney,23,"Watertown, NY",USA,43.9747838,-75.91075649999999,Louisiana State University,,,10.299999999999997
57,57,Eric Bledsoe,30,"Birmingham, AL",USA,33.5185892,-86.8103567,University of Kentucky,,,28.0
58,58,Jaron Blossomgame,26,"Alpharetta, GA",USA,34.0753762,-84.2940899,,,,8.900000000000002
59,59,Bogdan Bogdanovic,27,Belgrade,Serbia,44.786568,20.4489216,,,,22.6
60,60,Bojan Bogdanovic,30,Mostar,Croatia,43.3372849,17.8150151,,,,25.0
61,61,Andrew Bogut,35,Melbourne,Australia,-37.8136276,144.9630576,University of Utah,,,10.5
62,62,Jonah Bolden,24,Melbourne,Australia,-37.8136276,144.9630576,,,,10.7
63,63,Isaac Bonga,20,Neuwied,Germany,50.4361866,7.4664546,,,,3.3000000000000003
64,64,Devin Booker,23,"Grand Rapids, MI",USA,42.9633599,-85.6680863,University of Kentucky,,,38.6
65,65,Chris Boucher,27,Castries,Canada,14.0092652,-60.98982549999999,University of Oregon,,,6.5
66,66,Avery Bradley,29,"Tacoma, WA",USA,47.2528768,-122.4442906,University of Texas at Austin,,,13.8
67,67,Avery Bradley,29,"Tacoma, WA",USA,47.2528768,-122.4442906,University of Texas at Austin,,,24.3
68,68,Tony Bradley,22,"Bartow, FL",USA,27.8964147,-81.8431374,University of North Carolina,,,12.4
69,69,Corey Brewer,34,"Portland, TN",USA,36.5817089,-86.5163833,University of Florida,,,13.4
70,70,Corey Brewer,34,"Portland, TN",USA,36.5817089,-86.5163833,University of Florida,,,8.799999999999997
71,71,Mikal Bridges,23,"Philadelphia, PA",USA,39.9525839,-75.1652215,,,,15.6
