,Unnamed: 0,Name,Age,Birth City,Birth Country,Birth Lat,Birth Lng,College,College Lat,College Lng,Height (in),Ability Score
1,1,Quincy Acy,29,"Tyler, TX",USA,,,Baylor University,31.5469132,-97.1210998,"6'7""",5.5
3,3,Steven Adams,26,Rotorua,New Zealand,,,University of Pittsburgh,40.4443533,-79.960835,"6'11""",27.4
4,4,Bam Adebayo,22,"Newark, NJ",USA,,,University of Kentucky,38.0306511,-84.5039697,"6'9""",20.1
7,7,LaMarcus Aldridge,34,"Dallas, TX",USA,,,University of Texas at Austin,30.2849185,-97.7340567,"6'11""",34.7
10,10,Jarrett Allen,21,"Austin, TX",USA,,,University of Texas at Austin,30.2849185,-97.7340567,"6'11""",22.7
11,11,Kadeem Allen,27,"Wilmington, NC",USA,,,University of Arizona,32.2318851,-110.9501094,"6'1""",17.6
12,12,Al-Farouq Aminu,29,"Atlanta, GA",USA,,,Wake Forest University,36.1355052,-80.2791958,"6'8""",19.4
13,13,Justin Anderson,26,"Montross, VA",USA,,,University of Virginia,38.0335529,-78.5079772,"6'5""",6.8
14,14,Kyle Anderson,26,"New York, NY",USA,,,"University of California, Los Angeles",34.068921,-118.4451811,"6'9""",19.1
15,15,Ryan Anderson,31,"Sacramento, CA",USA,,,University of California,37.8718992,-122.2585399,"6'10""",8.1
16,16,Ryan Anderson,31,"Sacramento, CA",USA,,,University of California,37.8718992,-122.2585399,"6'10""",1.9
17,17,Ike Anigbogu,21,"San Diego, CA",USA,,,"University of California, Los Angeles",34.068921,-118.4451811,"6'9""",1.6
20,20,Carmelo Anthony,35,"New York, NY",USA,,,Syracuse University,43.0391534,-76.1351158,"6'8""",20.4
21,21,OG Anunoby,22,London,United Kingdom,,,Indiana University,39.1754487,-86.512627,"6'7""",11.6
22,22,Ryan Arcidiacono,26,"Langhorne, PA",USA,,,Villanova University,40.0378952,-75.34333149999999,"6'3""",13.5
23,23,Trevor Ariza,34,"Miami, FL",USA,,,"University of California, Los Angeles",34.068921,-118.4451811,"6'8""",20.6
24,24,Trevor Ariza,34,"Miami, FL",USA,,,"University of California, Los Angeles",34.068921,-118.4451811,"6'8""",24.6
25,25,D.J. Augustin,32,"New Orleans, LA",USA,,,University of Texas at Austin,30.2849185,-97.7340567,"5'11""",20.1
27,27,Dwayne Bacon,24,"Lakeland, FL",USA,,,Florida State University,30.4418778,-84.2984889,"6'6""",10.9
29,29,Ron Baker,27,"Hays, KS",USA,,,Wichita State University,37.7186367,-97.29414140000002,"6'4""",3.6
