,Name,Birth City,Birth Country,Birth Lat,Birth Lng,College,College Lat,College Lng
0,Justin Abdelkader,"Muskegon, MI",USA,,,,,
1,Pontus Aberg,Stockholm,Sweden,,,,,
2,Pontus Aberg,Stockholm,Sweden,,,,,
3,Vitaly Abramov,Chelyabinsk,Russia,,,,,
4,Noel Acciari,"Johnston, RI",USA,,,,,
5,Kenny Agostino,"Morristown, NJ",USA,,,,,
6,Kenny Agostino,"Morristown, NJ",USA,,,,,
7,Andrew Agozzino,"Kleinburg, ON",Canada,,,,,
8,Sebastian Aho,Umea,Sweden,,,,,
9,Jake Allen,"Fredericton, NB",Canada,,,,,
10,Mark Alt,"St. Paul, MN",USA,,,,,
11,Karl Alzner,"Burnaby, BC",Canada,,,,,
12,Michael Amadio,"Sault Ste. Marie, ON",Canada,,,,,
13,Frederik Andersen,Herning,Denmark,,,,,
14,Craig Anderson,"Park Ridge, IL",USA,,,,,
15,Joey Anderson,"Roseville, MN",USA,,,,,
16,Josh Anderson,"Nanaimo, BC",Canada,,,,,
17,Jaret Anderson-Dolan,"Calgary, AB",Canada,,,,,
18,Lias Andersson,Smogen,Sweden,,,,,
19,Rasmus Andersson,Malmö,Sweden,,,,,
20,Sven Andrighetto,Zurich,Switzerland,,,,,
21,Artem Anisimov,Yaroslavl,Russia,,,,,
22,Mason Appleton,"Green Bay, WI",USA,,,,,
23,Darren Archibald,"Newmarket, ON",Canada,,,,,
24,Darren Archibald,"Newmarket, ON",Canada,,,,,
25,Josh Archibald,"Regina, SK",Canada,,,,,
26,Joel Armia,Pori,Finland,,,,,
27,Viktor Arvidsson,Skellefteå,Sweden,,,,,
28,Zach Aston-Reese,"Staten Island, NY",USA,,,,,
29,Andreas Athanasiou,"Woodbridge, ON",Canada,,,,,
30,Cam Atkinson,"Riverside, CT",USA,,,,,
31,Nicolas Aube-Kubel,"Slave Lake, AB",Canada,,,,,
32,Richard Bachman,"Salt Lake City, UT",USA,,,,,
33,David Backes,"Minneapolis, MN",USA,,,,,
34,Mikael Backlund,Vasteras,Sweden,,,,,
35,Nicklas Backstrom,Gävle,Sweden,,,,,
36,Sven Baertschi,Bern,Switzerland,,,,,
37,Josh Bailey,"Bowmanville, ON",Canada,,,,,
38,Justin Bailey,"Buffalo, NY",USA,,,,,
39,Rudolfs Balcers,Liepaja,Latvia,,,,,
40,Ivan Barbashev,Moscow,Russia,,,,,
41,Mark Barberio,"Montreal, QC",Canada,,,,,
42,Aleksander Barkov,Tampere,Finland,,,,,
43,Tyson Barrie,"Victoria, BC",Canada,,,,,
44,Matt Bartkowski,"Pittsburgh, PA",USA,,,,,
45,Mathew Barzal,"Coquitlam, BC",Canada,,,,,
46,Nathan Bastian,"Kitchener, ON",Canada,,,,,
47,Drake Batherson,"Fort Wayne, IN",USA,,,,,
48,Gavin Bayreuther,"Canaan, NH",USA,,,,,
49,Jay Beagle,"Calgary, AB",Canada,,,,,
50,Jake Bean,"Calgary, AB",Canada,,,,,
51,Nathan Beaulieu,"Strathroy, ON",Canada,,,,,
52,Nathan Beaulieu,"Strathroy, ON",Canada,,,,,
53,Anthony Beauvillier,"Sorel-Tracy, QC",Canada,,,,,
54,Matt Beleskey,"Windsor, ON",Canada,,,,,
55,Pierre-Edouard Bellemare,Le Blanc-Mesnil,France,,,,,
56,Louie Belpedio,"Chicago, IL",USA,,,,,
57,Jamie Benn,"Victoria, BC",Canada,,,,,
58,Jordie Benn,"Victoria, BC",Canada,,,,,
59,Sam Bennett,"Holland Landing, ON",Canada,,,,,
60,Matt Benning,"Edmonton, AB",Canada,,,,,
61,Patrice Bergeron,"Ancienne-Lorette, QC",Canada,,,,,
62,Patrik Berglund,Västerås,Sweden,,,,,
63,Jonathan Bernier,"Laval, QC",Canada,,,,,
64,Tyler Bertuzzi,"Sudbury, ON",Canada,,,,,
65,Alex Biega,"Montreal, QC",Canada,,,,,
66,Jordan Binnington,"Richmond Hill, ON",Canada,,,,,
67,Ben Bishop,"Denver, CO",USA,,,,,
68,Clark Bishop,"St. John's, NL",Canada,,,,,
69,Anthony Bitetto,"Island Park, NY",USA,,,,,
70,Anthony Bitetto,"Island Park, NY",USA,,,,,
71,Anders Bjork,"Mequon, WI",USA,,,,,
72,Oliver Bjorkstrand,Herning,Denmark,,,,,
73,Nick Bjugstad,"Minneapolis, MN",USA,,,,,
74,Nick Bjugstad,"Minneapolis, MN",USA,,,,,
75,Colin Blackwell,"Lawrence, MA",USA,,,,,
76,Mackenzie Blackwood,"Thunder Bay, ON",Canada,,,,,
77,Sammy Blais,"Montmagny, QC",Canada,,,,,
78,Joseph Blandisi,"Markham, ON",USA,,,,,
79,Joseph Blandisi,"Markham, ON",USA,,,,,
80,Anton Blidh,Molnlycke,Sweden,,,,,
81,Teddy Blueger,Riga,Latvia,,,,,
82,Sergei Bobrovsky,Novokuznetsk,Russia,,,,,
83,Mikkel Boedker,Brondby,Denmark,,,,,
84,Brock Boeser,"Burnsville, MN",USA,,,,,
85,Zach Bogosian,"Massena, NY",USA,,,,,
86,Nick Bonino,"Hartford, CT",USA,,,,,
87,William Borgen,"Moorhead, MN",USA,,,,,
88,Henrik Borgstrom,Helsinki,Finland,,,,,
89,Mark Borowiecki,"Ottawa, ON",Canada,,,,,
90,Robert Bortuzzo,"Thunder Bay, ON",Canada,,,,,
91,Evan Bouchard,"Oakville, ON",Canada,,,,,
92,Reid Boucher,"Grand Ledge, MI",USA,,,,,
93,Gabriel Bourque,"Rimouski, QC",Canada,,,,,
94,Jay Bouwmeester,"Edmonton, AB",Canada,,,,,
95,Landon Bow,"St. Albert, AB",Canada,,,,,
96,Madison Bowey,"Winnipeg, MB",Canada,,,,,
97,Madison Bowey,"Winnipeg, MB",Canada,,,,,
98,Johnny Boychuk,"Edmonton, AB",Canada,,,,,
99,Travis Boyd,"Hopkins, MN",USA,,,,,
100,Brian Boyle,"Hingham, MA",USA,,,,,
101,Brian Boyle,"Hingham, MA",USA,,,,,
102,Kevin Boyle,"Manalapan, NJ",USA,,,,,
103,Tyler Bozak,"Regina, SK",Canada,,,,,
104,Erik Brannstrom,Almesakra,Sweden,,,,,
105,Derick Brassard,"Hull, QC",Canada,,,,,
106,Derick Brassard,"Hull, QC",Canada,,,,,
107,Derick Brassard,"Hull, QC",Canada,,,,,
108,Jesper Bratt,Stockholm,Sweden,,,,,
109,Justin Braun,"Minneapolis, MN",USA,,,,,
110,Connor Brickley,"Everett, MA",USA,,,,,
111,Daniel Brickley,"Salt Lake City, UT",USA,,,,,
112,Guillaume Brisebois,"St. Hilaire, QC",Canada,,,,,
113,TJ Brodie,"Chatham, ON",Canada,,,,,
114,Jonas Brodin,Karlstad,Sweden,,,,,
115,Kyle Brodziak,"St. Paul, AB",Canada,,,,,
116,Jonny Brodzinski,"Ham Lake, MN",USA,,,,,
117,Laurent Brossoit,"Port Alberni, BC",Canada,,,,,
118,Troy Brouwer,"Vancouver, BC",Canada,,,,,
119,Connor Brown,"Toronto, ON",Canada,,,,,
120,Dustin Brown,"Ithaca, NY",USA,,,,,
121,Josh Brown,"London, ON",Canada,,,,,
122,J.T. Brown,"Burnsville, MN",USA,,,,,
123,Logan Brown,"Raleigh, NC",USA,,,,,
124,Pavel Buchnevich,Cherepovets,Russia,,,,,
