,Name,Age,Birth City,Birth Country,Birth Lat,Birth Lng,College,College Lat,College Lng,Ability Score
0,Alex Abrines,26,Palma de Mallorca,Spain,,,,,,8.1
1,Quincy Acy,29,"Tyler, TX",USA,,,Baylor University,,,5.5
2,Jaylen Adams,23,"Elkridge, MD",USA,,,,,,7.4
3,Steven Adams,26,Rotorua,New Zealand,,,University of Pittsburgh,,,27.400000000000002
4,Bam Adebayo,22,"Newark, NJ",USA,,,University of Kentucky,,,20.099999999999998
5,Deng Adel,23,Juba,South Sudan,,,,,,3.3000000000000003
6,DeVaughn Akoon-Purcell,26,"Orlando, FL",Trinidad and Tobago,,,,,,2.8
7,LaMarcus Aldridge,34,"Dallas, TX",USA,,,University of Texas at Austin,,,34.699999999999996
8,Rawle Alkins,22,"Brooklyn, NY",USA,,,,,,7.7
9,Grayson Allen,24,"Jacksonville, FL",USA,,,,,,7.199999999999999
10,Jarrett Allen,21,"Austin, TX",USA,,,University of Texas at Austin,,,22.7
11,Kadeem Allen,27,"Wilmington, NC",USA,,,University of Arizona,,,17.6
12,Al-Farouq Aminu,29,"Atlanta, GA",USA,,,Wake Forest University,,,19.4
13,Justin Anderson,26,"Montross, VA",USA,,,University of Virginia,,,6.8
14,Kyle Anderson,26,"New York, NY",USA,,,"University of California, Los Angeles",,,19.099999999999998
15,Ryan Anderson,31,"Sacramento, CA",USA,,,University of California,,,8.1
16,Ryan Anderson,31,"Sacramento, CA",USA,,,University of California,,,1.9000000000000001
17,Ike Anigbogu,21,"San Diego, CA",USA,,,"University of California, Los Angeles",,,1.6
18,Giannis Antetokounmpo,25,Athens,Greece,,,,,,48.9
19,Kostas Antetokounmpo,22,Athens,Greece,,,,,,2.5
20,Carmelo Anthony,35,"New York, NY",USA,,,Syracuse University,,,20.4
21,OG Anunoby,22,London,United Kingdom,,,Indiana University,,,11.6
22,Ryan Arcidiacono,26,"Langhorne, PA",USA,,,Villanova University,,,13.5
23,Trevor Ariza,34,"Miami, FL",USA,,,"University of California, Los Angeles",,,20.6
24,Trevor Ariza,34,"Miami, FL",USA,,,"University of California, Los Angeles",,,24.6
25,D.J. Augustin,32,"New Orleans, LA",USA,,,University of Texas at Austin,,,20.1
26,Deandre Ayton,21,Nassau,Bahamas,,,,,,30.2
27,Dwayne Bacon,24,"Lakeland, FL",USA,,,Florida State University,,,10.9
28,Marvin Bagley III,21,"Tempe, AZ",USA,,,,,,25.0
29,Ron Baker,27,"Hays, KS",USA,,,Wichita State University,,,3.6
30,Ron Baker,27,"Hays, KS",USA,,,Wichita State University,,,1.9
31,Wade Baldwin IV,24,"Belle Mead, NJ",USA,,,Vanderbilt University,,,3.8
32,Lonzo Ball,22,"Anaheim, CA",USA,,,"University of California, Los Angeles",,,22.5
33,Mo Bamba,21,"Harlem, NY",USA,,,,,,13.600000000000003
34,J.J. Barea,35,Mayaguez,Puerto Rico,,,Northeastern University,,,19.6
35,Harrison Barnes,27,"Ames, IA",USA,,,University of North Carolina,,,24.099999999999998
36,Harrison Barnes,27,"Ames, IA",USA,,,University of North Carolina,,,22.3
37,Will Barton,29,"Baltimore, MD",USA,,,University of Memphis,,,19.9
38,Keita Bates-Diop,24,"Sacramento, CA",USA,,,,,,9.5
39,Nicolas Batum,31,Lisieux,France,,,,,,19.3
40,Jerryd Bayless,31,"Phoenix, AZ",USA,,,University of Arizona,,,12.1
41,Aron Baynes,33,Gisborne,Australia,,,Washington State University,,,12.299999999999999
42,Kent Bazemore,30,"Kelford, NC",USA,,,Old Dominion University,,,19.700000000000003
43,Bradley Beal,26,"St. Louis, MO",USA,,,University of Florida,,,38.300000000000004
44,Malik Beasley,23,"Atlanta, GA",USA,,,Florida State University,,,15.799999999999999
45,Michael Beasley,31,"Frederick, MD",USA,,,Kansas State University,,,11.000000000000002
46,Marco Belinelli,34,Bologna,Italy,,,,,,15.2
47,Jordan Bell,25,"Los Angeles, CA",USA,,,University of Oregon,,,8.2
48,DeAndre' Bembry,25,"Charlotte, NC",USA,,,Saint Joseph's University,,,17.1
49,Dragan Bender,22,Capljina,Croatia,,,,,,11.1
50,Dairis Bertans,30,,,,,,,,4.499999999999999
51,Davis Bertans,27,Valmiera,Latvia,,,,,,13.700000000000001
52,Patrick Beverley,31,"Chicago, IL",USA,,,University of Arkansas,,,18.0
53,Khem Birch,27,Montreal,Canada,,,"University of Nevada, Las Vegas",,,10.4
54,Bismack Biyombo,27,Lubumbashi,Democratic Republic of the Congo,,,,,,10.6
55,Nemanja Bjelica,31,Belgrade,Serbia,,,,,,18.699999999999996
56,Antonio Blakeney,23,"Watertown, NY",USA,,,Louisiana State University,,,10.299999999999997
57,Eric Bledsoe,30,"Birmingham, AL",USA,,,University of Kentucky,,,28.0
58,Jaron Blossomgame,26,"Alpharetta, GA",USA,,,,,,8.900000000000002
59,Bogdan Bogdanovic,27,Belgrade,Serbia,,,,,,22.6
60,Bojan Bogdanovic,30,Mostar,Croatia,,,,,,25.0
61,Andrew Bogut,35,Melbourne,Australia,,,University of Utah,,,10.5
62,Jonah Bolden,24,Melbourne,Australia,,,,,,10.700000000000001
63,Isaac Bonga,20,Neuwied,Germany,,,,,,3.3000000000000003
