,Name,Age,Birth City,Birth Country,Birth Lat,Birth Lng,College,College Lat,College Lng,Position,Points
0,Justin Abdelkader,33,"Muskegon, MI",USA,,,,,,LW,19
1,Pontus Aberg,26,Stockholm,Sweden,,,,,,LW,19
2,Pontus Aberg,26,Stockholm,Sweden,,,,,,LW,6
3,Vitaly Abramov,21,Chelyabinsk,Russia,,,,,,RW,0
4,Noel Acciari,28,"Johnston, RI",USA,,,,,,C,14
5,Kenny Agostino,27,"Morristown, NJ",USA,,,,,,LW,11
6,Kenny Agostino,27,"Morristown, NJ",USA,,,,,,LW,13
7,Andrew Agozzino,29,"Kleinburg, ON",Canada,,,,,,LW,2
8,Sebastian Aho,24,Umea,Sweden,,,,,,C,84
9,Jake Allen,29,"Fredericton, NB",Canada,,,,,,D,0
10,Mark Alt,28,"St. Paul, MN",USA,,,,,,D,0
11,Karl Alzner,31,"Burnaby, BC",Canada,,,,,,C,1
12,Michael Amadio,23,"Sault Ste. Marie, ON",Canada,,,,,,RW,14
13,Frederik Andersen,30,Herning,Denmark,,,,,,RW,1
14,Craig Anderson,38,"Park Ridge, IL",USA,,,,,,C,2
15,Joey Anderson,21,"Roseville, MN",USA,,,,,,C,8
16,Josh Anderson,21,"Nanaimo, BC",Canada,,,,,,D,47
17,Jaret Anderson-Dolan,20,"Calgary, AB",Canada,,,,,,RW,1
18,Lias Andersson,21,Smogen,Sweden,,,,,,C,6
19,Rasmus Andersson,23,Malmö,Sweden,,,,,,C,20
20,Sven Andrighetto,27,Zurich,Switzerland,,,,,,RW,17
21,Artem Anisimov,31,Yaroslavl,Russia,,,,,,RW,37
22,Mason Appleton,24,"Green Bay, WI",USA,,,,,,RW,11
23,Darren Archibald,30,"Newmarket, ON",Canada,,,,,,RW,2
24,Darren Archibald,30,"Newmarket, ON",Canada,,,,,,RW,0
25,Josh Archibald,27,"Regina, SK",Canada,,,,,,C,22
26,Joel Armia,26,Pori,Finland,,,,,,C,23
27,Viktor Arvidsson,27,Skellefteå,Sweden,,,,,,RW,48
28,Zach Aston-Reese,25,"Staten Island, NY",USA,,,,,,RW,17
29,Andreas Athanasiou,25,"Woodbridge, ON",Canada,,,,,,RW,54
30,Cam Atkinson,30,"Riverside, CT",USA,,,,,,C,69
31,Nicolas Aube-Kubel,23,"Slave Lake, AB",Canada,,,,,,C,0
32,Richard Bachman,32,"Salt Lake City, UT",USA,,,,,,LW,0
33,David Backes,35,"Minneapolis, MN",USA,,,,,,RW,20
34,Mikael Backlund,31,Vasteras,Sweden,,,,,,RW,47
35,Nicklas Backstrom,32,Gävle,Sweden,,,,,,LW,74
36,Sven Baertschi,27,Bern,Switzerland,,,,,,C,14
37,Josh Bailey,30,"Bowmanville, ON",Canada,,,,,,D,56
38,Justin Bailey,24,"Buffalo, NY",USA,,,,,,C,1
39,Rudolfs Balcers,23,Liepaja,Latvia,,,,,,D,15
40,Ivan Barbashev,24,Moscow,Russia,,,,,,D,28
41,Mark Barberio,30,"Montreal, QC",Canada,,,,,,C,1
42,Aleksander Barkov,24,Tampere,Finland,,,,,,RW,98
43,Tyson Barrie,28,"Victoria, BC",Canada,,,,,,RW,59
44,Matt Bartkowski,31,"Pittsburgh, PA",USA,,,,,,D,1
45,Mathew Barzal,22,"Coquitlam, BC",Canada,,,,,,C,62
46,Nathan Bastian,22,"Kitchener, ON",Canada,,,,,,D,5
47,Drake Batherson,21,"Fort Wayne, IN",USA,,,,,,D,9
48,Gavin Bayreuther,25,"Canaan, NH",USA,,,,,,D,5
49,Jay Beagle,34,"Calgary, AB",Canada,,,,,,LW,13
50,Jake Bean,21,"Calgary, AB",Canada,,,,,,LW,0
51,Nathan Beaulieu,27,"Strathroy, ON",Canada,,,,,,C,7
52,Nathan Beaulieu,27,"Strathroy, ON",Canada,,,,,,D,5
53,Anthony Beauvillier,22,"Sorel-Tracy, QC",Canada,,,,,,LW,28
54,Matt Beleskey,31,"Windsor, ON",Canada,,,,,,D,1
55,Pierre-Edouard Bellemare,35,Le Blanc-Mesnil,France,,,,,,C,15
56,Louie Belpedio,23,"Chicago, IL",USA,,,,,,D,0
57,Jamie Benn,30,"Victoria, BC",Canada,,,,,,C,53
58,Jordie Benn,32,"Victoria, BC",Canada,,,,,,C,22
59,Sam Bennett,23,"Holland Landing, ON",Canada,,,,,,LW,27
60,Matt Benning,25,"Edmonton, AB",Canada,,,,,,D,17
61,Patrice Bergeron,34,"Ancienne-Lorette, QC",Canada,,,,,,C,79
62,Patrik Berglund,31,Västerås,Sweden,,,,,,D,4
63,Jonathan Bernier,31,"Laval, QC",Canada,,,,,,D,0
