,Name,Age,Birth City,Birth Country,Birth Lat,Birth Lng,College,College Lat,College Lng,Ability Score
237,James Harden,30,"Los Angeles, CA",USA,,,Arizona State University,33.4242399,-111.9280527,52.90000000000001
178,Joel Embiid,26,Yaounde,Cameroon,,,University of Kansas,38.9543439,-95.2557961,47.40000000000001
592,Russell Westbrook,31,"Long Beach, CA",USA,,,"University of California, Los Angeles",34.068921,-118.4451811,47.1
144,Anthony Davis,27,"Chicago, IL",USA,,,University of Kentucky,38.0306511,-84.5039697,45.8
212,Paul George,29,"Palmdale, CA",USA,,,"California State University, Fresno",36.8133631,-119.7460947,42.8
566,Karl-Anthony Towns,24,"Edison, NJ",USA,,,University of Kentucky,38.0306511,-84.5039697,42.7
171,Kevin Durant,31,"Washington, DC",USA,,,University of Texas at Austin,30.2849185,-97.7340567,40.2
142,Stephen Curry,32,"Akron, OH",USA,,,Davidson College,35.5008018,-80.8446725,39.5
350,Kawhi Leonard,28,"Los Angeles, CA",USA,,,San Diego State University,32.7759894,-117.0712533,39.39999999999999
354,Damian Lillard,29,"Oakland, CA",USA,,,Weber State University,41.19246820000001,-111.9444959,38.8
579,Nikola Vucevic,29,Morges,Montenegro,,,University of Southern California,34.0223519,-118.285117,38.7
64,Devin Booker,23,"Grand Rapids, MI",USA,,,University of Kentucky,38.0306511,-84.5039697,38.6
232,Blake Griffin,31,"Oklahoma City, OK",USA,,,University of Oklahoma,35.2058936,-97.4457137,38.5
43,Bradley Beal,26,"St. Louis, MO",USA,,,University of Florida,29.6436325,-82.3549302,38.3
286,Kyrie Irving,28,Melbourne,Australia,,,Duke University,36.0014258,-78.9382286,37.8
168,Andre Drummond,26,"Mount Vernon, NY",USA,,,University of Connecticut,41.8077414,-72.2539805,37.8
583,Kemba Walker,29,"Bronx, NY",USA,,,University of Connecticut,41.8077414,-72.2539805,37.5
265,Jrue Holiday,29,"Chatsworth, CA",USA,,,"University of California, Los Angeles",34.068921,-118.4451811,36.3
525,Ben Simmons,23,Fitzroy,Australia,,,Louisiana State University,30.4132579,-91.1800023,35.59999999999999
585,John Wall,29,"Raleigh, NC",USA,,,University of Kentucky,38.0306511,-84.5039697,35.4
155,DeMar DeRozan,30,"Compton, CA",USA,,,University of Southern California,34.0223519,-118.285117,35.0
7,LaMarcus Aldridge,34,"Dallas, TX",USA,,,University of Texas at Austin,30.2849185,-97.7340567,34.7
487,Julius Randle,25,"Dallas, TX",USA,,,University of Kentucky,38.0306511,-84.5039697,34.5
342,Zach LaVine,25,"Renton, WA",USA,,,"University of California, Los Angeles",34.068921,-118.4451811,34.3
93,Jimmy Butler,30,"Houston, TX",USA,,,Marquette University,43.0388337,-87.92856669999999,34.1
413,Donovan Mitchell,23,"Elmsford, NY",USA,,,University of Louisville,38.2122761,-85.75850229999999,33.9
505,D'Angelo Russell,24,"Louisville, KY",USA,,,Ohio State University,40.0068363,-83.0306222,33.40000000000001
243,Tobias Harris,27,"Islip, NY",USA,,,University of Tennessee,35.9544013,-83.92945639999999,32.5
128,Mike Conley,32,"Fayetteville, AR",USA,,,Ohio State University,40.0068363,-83.0306222,32.49999999999999
124,John Collins,22,"Layton, UT",USA,,,Wake Forest University,36.1355052,-80.2791958,32.3
453,Victor Oladipo,27,"Silver Spring, MD",USA,,,Indiana University,38.3449041,-85.819778,31.6
508,JaKarr Sampson,27,"Cleveland, OH",USA,,,St. John's University,40.7220627,-73.79421119999999,30.8
362,Kevin Love,31,"Santa Monica, CA",USA,,,"University of California, Los Angeles",34.068921,-118.4451811,30.7
197,De'Aaron Fox,22,"New Orleans, LA",USA,,,University of Kentucky,38.0306511,-84.5039697,30.600000000000005
