,name,college,lat,lng
0,Alaa Abdelnaby,Duke University,36.0014258,-78.9382286
1,Zaid Abdul-Aziz,Iowa State University,42.0266187,-93.6464654
2,Kareem Abdul-Jabbar,"University of California, Los Angeles",34.068921,-118.4451811
3,Mahmoud Abdul-Rauf,Louisiana State University,30.4132579,-91.1800023
4,Tariq Abdul-Wahad,San Jose State University,37.3351874,-121.8810715
5,Shareef Abdur-Rahim,University of California,37.8718992,-122.2585399
6,Tom Abernethy,Indiana University,39.1754487,-86.512627
7,Forest Able,Western Kentucky University,36.983537,-86.4573752
8,John Abramovic,Salem International University,39.288908,-80.571055
10,Alex Acker,Pepperdine University,34.0414045,-118.7095814
11,Don Ackerman,Long Island University,40.6912319,-73.98106589999999
12,Mark Acres,Oral Roberts University,36.0507991,-95.9536715
13,Bud Acton,Hillsdale College,41.9326414,-84.6336504
14,Quincy Acy,Baylor University,31.5469132,-97.1210998
15,Alvan Adams,University of Oklahoma,35.2058936,-97.4457137
16,Don Adams,Northwestern University,42.0564594,-87.67526699999999
17,George Adams,Gardner-Webb University,35.2475249,-81.6706979
18,Hassan Adams,University of Arizona,32.2318851,-110.9501094
19,Jordan Adams,"University of California, Los Angeles",34.068921,-118.4451811
20,Michael Adams,Boston College,42.3355488,-71.16849450000001
21,Steven Adams,University of Pittsburgh,40.4443533,-79.960835
22,Rafael Addison,Syracuse University,43.0391534,-76.1351158
23,Bam Adebayo,University of Kentucky,38.0306511,-84.5039697
24,Rick Adelman,Loyola Marymount University,33.9701634,-118.4166111
25,Jeff Adrien,University of Connecticut,41.8077414,-72.2539805
26,Arron Afflalo,"University of California, Los Angeles",34.068921,-118.4451811
27,Maurice Ager,Michigan State University,42.701848,-84.4821719
28,Mark Aguirre,DePaul University,41.9247559,-87.6566465
29,Blake Ahearn,Missouri State University,37.2005546,-93.2806806
30,Danny Ainge,Brigham Young University,40.2518435,-111.6493156
31,Matthew Aitch,Michigan State University,42.701848,-84.4821719
33,Henry Akin,Morehead State University,38.1886162,-83.4315122
34,Josh Akognon,"California State University, Fullerton",33.8829226,-117.8869261
35,Solomon Alabi,Florida State University,30.4418778,-84.2984889
36,Mark Alarie,Duke University,36.0014258,-78.9382286
37,Gary Alcorn,"California State University, Fresno",36.8133631,-119.7460947
39,Cole Aldrich,University of Kansas,38.9543439,-95.2557961
40,LaMarcus Aldridge,University of Texas at Austin,30.2849185,-97.7340567
41,Chuck Aleksinas,University of Connecticut,41.8077414,-72.2539805
42,Cliff Alexander,University of Kansas,38.9543439,-95.2557961
43,Cory Alexander,University of Virginia,38.0335529,-78.5079772
44,Courtney Alexander,"California State University, Fresno",36.8133631,-119.7460947
45,Gary Alexander,University of South Florida,28.0587031,-82.41385389999999
46,Joe Alexander,West Virginia University,39.6480359,-79.9697147
47,Victor Alexander,Iowa State University,42.0266187,-93.6464654
48,Steve Alford,Indiana University,39.1754487,-86.512627
49,Bill Allen,New Mexico State University,32.2787745,-106.7479059
50,Bob Allen,Marshall University,38.4235252,-82.42641449999999
51,Jarrett Allen,University of Texas at Austin,30.2849185,-97.7340567
52,Jerome Allen,University of Pennsylvania,39.9522188,-75.1932137
53,Kadeem Allen,University of Arizona,32.2318851,-110.9501094
54,Lavoy Allen,Temple University,39.9805942,-75.1557376
55,Lucius Allen,"University of California, Los Angeles",34.068921,-118.4451811
56,Malik Allen,Villanova University,40.0378952,-75.34333149999999
57,Randy Allen,Florida State University,30.4418778,-84.2984889
58,Ray Allen,University of Connecticut,41.8077414,-72.2539805
59,Tony Allen,Oklahoma State University,36.1270236,-97.07372219999999
60,Willie Allen,University of Miami,25.7178924,-80.2746368
61,Odis Allison,"University of Nevada, Las Vegas",36.1085197,-115.1431709
62,Lance Allred,Weber State University,41.19246820000001,-111.9444959
63,Darrell Allums,"University of California, Los Angeles",34.068921,-118.4451811
64,Morris Almond,Rice University,29.7173941,-95.40183119999999
65,Derrick Alston,Duquesne University,40.4367914,-79.989232
66,Rafer Alston,"California State University, Fresno",36.8133631,-119.7460947
67,Peter Aluma,Liberty University,37.3530446,-79.1769529
68,John Amaechi,Pennsylvania State University,40.7982133,-77.8599084
69,Ashraf Amaya,Southern Illinois University,37.7100209,-89.2225941
70,Al-Farouq Aminu,Wake Forest University,36.1355052,-80.2791958
71,Lou Amundson,"University of Nevada, Las Vegas",36.1085197,-115.1431709
72,Bob Anderegg,Michigan State University,42.701848,-84.4821719
73,Chris Andersen,Blinn College,30.1598781,-96.4066666
75,Alan Anderson,Michigan State University,42.701848,-84.4821719
76,Andrew Anderson,Canisius College,42.9248338,-78.8514848
77,Antonio Anderson,University of Memphis,35.1187498,-89.9374928
78,Cliff Anderson,Saint Joseph's University,39.9951217,-75.23993279999999
79,Dan Anderson,Augsburg College,44.9665149,-93.24016480000002
80,Dan Anderson,University of Southern California,34.0223519,-118.285117
81,Derek Anderson,University of Kentucky,38.0306511,-84.5039697
82,Dwight Anderson,University of Southern California,34.0223519,-118.285117
