,Player,birth_city,birth_state,lat,lng
1,Cliff Barker,Yorktown,Indiana,40.1736547,-85.4941396
4,Ralph Beard,Hardinsburg,Kentucky,37.7800591,-86.4605337
6,Charlie Black,Arco,Idaho,43.6365693,-113.3002844
7,Nelson Bobb,Philadelphia,Pennsylvania,39.9525839,-75.1652215
8,Jake Bornheimer,New Brunswick,New Jersey,40.4862157,-74.4518188
9,Vince Boryla,East Chicago,Indiana,41.63920239999999,-87.4547635
10,Don Boven,Kalamazoo,Michigan,42.2917069,-85.5872286
11,Harry Boykoff,Brooklyn,New York,40.6781784,-73.9441579
12,Joe Bradley,Washington,Oklahoma,35.0589583,-97.4844761
14,Carl Braun,Brooklyn,New York,40.6781784,-73.9441579
15,Frankie Brian,Zachary,Louisiana,30.64851909999999,-91.1564961
16,Price Brookfield,Floydada,Texas,33.9845232,-101.3376574
17,Bob Brown,Versailles,Ohio,40.2225481,-84.48439599999999
18,Jim Browne,Midlothian,Illinois,41.6253116,-87.7175491
19,Walt Budko,Kearney,New Jersey,40.7684342,-74.1454214
21,Tommy Byrnes,Teaneck,New Jersey,40.8932469,-74.0116536
22,Bill Calhoun,San Francisco,California,37.7749295,-122.4194155
23,Don Carlson,Minneapolis,Minnesota,44.977753,-93.2650108
26,Al Cervi*,Buffalo,New York,42.88644679999999,-78.8783689
28,Leroy Chollet,New Orleans,Louisiana,29.95106579999999,-90.0715323
29,Bill Closs,Edge,Texas,30.8899124,-96.2946839
31,Jack Coleman,Burgin,Kentucky,37.7534112,-84.7666148
34,Jack Cotton,Miles City,Montana,46.4083362,-105.8405582
35,Dillard Crocker,Coffee County,Tennessee,35.4576849,-86.05296039999999
36,Chink Crossin,Luzerne,Pennsylvania,41.2856365,-75.9010304
37,Fran Curran,Sterling,Illinois,41.788642,-89.69621939999999
39,Bob Davies*,Harrisburg,Pennsylvania,40.2731911,-76.8867008
40,Hook Dillon,Savannah,Georgia,32.0808989,-81.091203
43,Bob Doll,Steamboat Springs,Colorado,40.4849769,-106.8317158
44,Harry Donovan,Union City,New Jersey,40.7795455,-74.02375119999999
46,Dike Eddleman,Centralia,Illinois,38.5285169,-89.1316944
47,Gene Englund,Kenosha,Wisconsin,42.5847425,-87.82118539999999
48,Bob Evans,Indianapolis,Indiana,39.768403,-86.158068
49,Johnny Ezersky,New York,New York,40.7127753,-74.0059728
50,Bob Feerick,San Francisco,California,37.7749295,-122.4194155
52,Arnie Ferrin,Salt Lake City,Utah,40.7607793,-111.8910474
53,Jerry Fleishman,Brooklyn,New York,40.6781784,-73.9441579
54,Joe Fulks*,Birmingham,Kentucky,36.9064438,-88.22364209999999
56,Elmer Gainer,Chicago,Illinois,41.8781136,-87.6297982
57,Harry Gallatin*,Roxana,Illinois,38.846767,-90.0607398
58,Vern Gardner,Afton,Wyoming,42.7249282,-110.9318687
66,Bud Grant,Superior,Wisconsin,46.7207737,-92.10407959999999
67,Don Grate,Greenfield,Ohio,39.3520084,-83.38269280000002
68,Alex Groza,Martins Ferry,Ohio,40.0959055,-80.724526
71,Chick Halbert,Albany,Texas,32.723452,-99.29730049999999
72,Bruce Hale,Medford,Oregon,42.3265152,-122.8755949
74,Alex Hannum*,Los Angeles,California,34.0522342,-118.2436849
75,John Hargis,Nacogdoches,Texas,31.6035129,-94.6554874
76,Bob Harris,Linden,Tennessee,35.6172917,-87.8394704
77,Bob Harrison,Linden,Tennessee,35.6172917,-87.8394704
79,Marshall Hawkins,Huntington,West Virginia,38.4192496,-82.44515400000002
80,Bill Henry,Dallas,Texas,32.7766642,-96.79698789999999
82,Kleggie Hermsen,Hill City,Minnesota,46.9932846,-93.5985615
83,Sonny Hertzberg,Brooklyn,New York,40.6781784,-73.9441579
86,Red Holzman*,Brooklyn,New York,40.6781784,-73.9441579
87,Gene James,Ironton,Ohio,38.5367471,-82.6829406
89,Tony Jaros,Minneapolis,Minnesota,44.977753,-93.2650108
90,Buddy Jeannette*,New Kensington,Pennsylvania,40.5697892,-79.7647705
91,Arnie Johnson,Gonvick,Minnesota,47.7374567,-95.5136248
95,George Kaftan,New York,New York,40.7127753,-74.0059728
98,Bob Kinney,Fort Scott,Kansas,37.8397626,-94.7082951
99,Walt Kirk,Mount Vernon,Illinois,38.3172714,-88.9031201
100,Leo Klier,Washington,Indiana,38.65921520000001,-87.172789
101,Duane Klueh,Bottineau,North Dakota,48.8272301,-100.4456984
102,Lee Knorek,Warsaw,Poland,52.2243668,21.0226924
107,Tony Lavelli,Somerville,Massachusetts,42.3875968,-71.0994968
109,Andrew Levane,Brooklyn,New York,40.6781784,-73.9441579
110,Freddie Lewis,Brooklyn,New York,40.6781784,-73.9441579
112,John Logan,Richmond,Indiana,39.8289369,-84.8902382
113,Ray Lumpp,Brooklyn,New York,40.6781784,-73.9441579
114,Ed Macauley*,St. Louis,Missouri,38.6270025,-90.19940419999999
116,John Mahnken,New Jersey,New Jersey,40.0583238,-74.4056612
117,John Mandic,Los Angeles,California,34.0522342,-118.2436849
118,Slater Martin*,El Mina,Texas,30.5596441,-95.4754981
119,Ariel Maughan,Salt Lake City,Utah,40.7607793,-111.8910474
120,Matt Mazza,Niagara Falls,New York,43.0962143,-79.0377388
122,Dick McGuire*,Huntington,New York,40.8681539,-73.425676
123,Bones McKinney,Lowlands,North Carolina,35.2990556,-76.5643719
129,George Mikan*,Joliet,Illinois,41.525031,-88.0817251
130,Vern Mikkelsen*,Fresno,California,36.7377981,-119.7871247
135,Joe Mullaney,Long Island,New York,40.789142,-73.13496099999999
136,Jerry Nagel,Chicago,Illinois,41.8781136,-87.6297982
138,Richie Niemiera,Chicago,Illinois,41.8781136,-87.6297982
139,Paul Noel,Midway,Kentucky,38.1509077,-84.6838344
140,Jim Nolan,Macon,Georgia,32.8406946,-83.6324022
141,Johnny Norlander,Virginia,Minnesota,47.5232596,-92.53657129999999
142,George Nostrand,Uniondale,New York,40.7003793,-73.5929056
143,Mike Novak,Chicago,Illinois,41.8781136,-87.6297982
146,Dick O'Keefe,San Francisco,California,37.7749295,-122.4194155
147,John Oldham,Beaver Dam,Kentucky,37.4019918,-86.8758256
148,Gene Ollrich,Whiting,Indiana,41.6797578,-87.4944873
149,Johnny Orr,Yale,Kansas,37.4839373,-94.6419037
150,Don Otten,Bellefontaine,Ohio,40.3611643,-83.7596557
151,Mac Otten,Bellefontaine,Ohio,40.3611643,-83.7596557
153,Easy Parham,Fort Worth,Texas,32.7554883,-97.3307658
