Player,VORP
Russell Westbrook,12.4
James Harden,9.0
LeBron James,7.3
Giannis Antetokounmpo,6.9
Jimmy Butler,6.3
Kawhi Leonard,6.2
Stephen Curry,6.2
Rudy Gobert,5.4
Karl-Anthony Towns,5.4
DeMarcus Cousins,5.3
Nikola Jokic,5.3
Chris Paul,5.2
Kevin Durant,5.2
Kyle Lowry,4.9
Isaiah Thomas,4.8
Draymond Green,4.6
Mike Conley,4.5
John Wall,4.3
Damian Lillard,4.3
Marc Gasol,4.0
Gordon Hayward,4.0
Kemba Walker,3.9
Otto Porter,3.9
Anthony Davis,3.9
DeAndre Jordan,3.9
Blake Griffin,3.4
Paul George,3.2
Goran Dragic,2.9
Kyrie Irving,2.9
Eric Bledsoe,2.9
Bradley Beal,2.8
Al Horford,2.8
Myles Turner,2.8
Paul Millsap,2.7
Trevor Ariza,2.6
Jeff Teague,2.6
James Johnson,2.5
Mason Plumlee,2.5
Gorgui Dieng,2.5
Andre Iguodala,2.5
Pau Gasol,2.4
Dwight Howard,2.4
Joe Ingles,2.3
George Hill,2.2
Patrick Beverley,2.2
Jae Crowder,2.1
Tobias Harris,2.1
Nicolas Batum,2.1
C.J. McCollum,2.1
Tristan Thompson,2.1
Thaddeus Young,2.0
Brook Lopez,2.0
Danny Green,2.0
Jrue Holiday,2.0
Lucas Nogueira,2.0
David Lee,1.9
DeMar DeRozan,1.9
Kentavious Caldwell-Pope,1.9
Tyler Johnson,1.9
Greg Monroe,1.9
Robert Covington,1.8
Cody Zeller,1.8
LaMarcus Aldridge,1.8
Ricky Rubio,1.7
Seth Curry,1.7
Elfrid Payton,1.7
P.J. Tucker,1.7
Andre Drummond,1.7
Amir Johnson,1.7
Kyle O'Quinn,1.7
Nikola Vucevic,1.7
Gary Harris,1.6
Danilo Gallinari,1.5
Klay Thompson,1.5
Patty Mills,1.5
Steven Adams,1.5
Zaza Pachulia,1.5
Larry Nance,1.5
Maurice Harkless,1.5
Marcin Gortat,1.5
Vince Carter,1.4
DeMarre Carroll,1.4
Lou Williams,1.4
Dwyane Wade,1.4
JaMychal Green,1.4
Nerlens Noel,1.4
Tony Allen,1.3
Marvin Williams,1.3
Wesley Matthews,1.3
Manu Ginobili,1.3
Thabo Sefolosha,1.3
Kevin Love,1.3
Michael Kidd-Gilchrist,1.3
Patrick Patterson,1.2
Kristaps Porzingis,1.2
Dwight Powell,1.2
Clint Capela,1.2
Luc Mbah,1.2
Andre Roberson,1.2
Dewayne Dedmon,1.2
Joakim Noah,1.1
Rajon Rondo,1.1
Julius Randle,1.1
J.J. Redick,1.1
Jon Leuer,1.1
Richaun Holmes,1.1
Courtney Lee,1.1
Solomon Hill,1.0
Marcus Smart,1.0
Will Barton,1.0
Trevor Booker,1.0
Kelly Olynyk,1.0
Serge Ibaka,1.0
Garrett Temple,1.0
Joel Embiid,1.0
Jabari Parker,1.0
Nikola Mirotic,1.0
Mike Muscala,1.0
Marcus Morris,1.0
Jeremy Lin,0.9
David West,0.9
Kenneth Faried,0.9
T.J. Warren,0.9
Kyle Anderson,0.9
Hassan Whiteside,0.9
Marreese Speights,0.9
Tim Hardaway,0.9
Josh Richardson,0.9
Joe Johnson,0.8
Ersan Ilyasova,0.8
James Ennis,0.8
Carmelo Anthony,0.8
Kyle Korver,0.8
Malcolm Brogdon,0.8
Montrezl Harrell,0.8
Nene Hilario,0.8
Rodney McGruder,0.8
Dennis Schroder,0.8
Davis Bertans,0.8
Aaron Gordon,0.8
Zach LaVine,0.8
Terrence Ross,0.7999999999999999
Avery Bradley,0.7
Wayne Ellington,0.7
Tony Snell,0.7
C.J. Miles,0.7
Rudy Gay,0.7
Matt Barnes,0.7
Jonas Valanciunas,0.7
Wilson Chandler,0.7
Willy Hernangomez,0.7
D'Angelo Russell,0.7
Robin Lopez,0.6
Derrick Favors,0.6
Jusuf Nurkic,0.6
Kent Bazemore,0.6
Ish Smith,0.6
Markieff Morris,0.6
Dante Cunningham,0.6
Jared Dudley,0.6
Cory Joseph,0.6
Ryan Anderson,0.6
Allen Crabbe,0.5
Tyson Chandler,0.5
Raymond Felton,0.5
Nick Young,0.5
John Henson,0.5
JaVale McGee,0.5
Channing Frye,0.5
Cristiano Felicio,0.5
Anthony Tolliver,0.5
Salah Mejri,0.5
Al-Farouq Aminu,0.4
Jerian Grant,0.4
Eric Gordon,0.4
Willie Reed,0.4
Evan Fournier,0.4
Rondae Hollis-Jefferson,0.4
Jeff Withey,0.4
Spencer Dinwiddie,0.4
Victor Oladipo,0.4
Brandan Wright,0.4
Cole Aldrich,0.4
Justin Holiday,0.4
Dion Waiters,0.4
Justin Hamilton,0.4
Delon Wright,0.4
Devin Harris,0.4
Ian Mahinmi,0.4
Lavoy Allen,0.4
Yogi Ferrell,0.39999999999999997
Spencer Hawes,0.30000000000000004
Darren Collison,0.3
Caris LeVert,0.3
Jason Terry,0.3
E'Twaun Moore,0.3
Nemanja Bjelica,0.3
Khris Middleton,0.3
Willie Cauley-Stein,0.3
Rodney Hood,0.3
Shawn Long,0.3
Sam Dekker,0.3
J.J. Barea,0.3
Ty Lawson,0.3
Andrew Bogut,0.3
Kevon Looney,0.3
